num,located,located2,moni_address,lon,lat,stat,st_code,pm2_5,geom,pm10,o3,no2,co,so2
104,경기,원시동,경기 안산시 단원구 산단로 112 근로복지관 민주노총,126.7885109,37.30529399,정좌표,031,34,0101000020E610000088026CF676B25F40915B9BDF13A74240,106,0.081,0.041,0.5,0.005
36,경기,공도읍,경기도 안성시 공도읍 공도4로 8 공도읍행정복지센터 옥상,127.1727888,37.00117402,정좌표,031,26,0101000020E61000005E47C1F80ECB5F409FC0647826804240,76,0.12,0.013,0.4,0.004
95,경기,오산동,경기 오산시 경기동로 51 오산고용복지플러스센터,127.0773162,37.15888305,정좌표,031,25,0101000020E6100000DD9CA5BFF2C45F40C2D19F4756944240,68,0.101,0.015,0.4,0.003
444,광주,주월동,광주 남구 회서로 21번가길 13 주월1동 주민센터,126.8933326,35.13193559,정좌표,062,25,0101000020E6100000D75C7F5C2CB95F403E1DF243E3904140,68,0.108,0.015,0.6,0.006
23,서울,종로구,"서울 종로구 종로35가길 19 종로5,6가 동 주민센터",127.0050321,37.57206209,정좌표,02,37,0101000020E6100000883B287252C05F406CEA9F5439C94240,97,0.095,0.021,0.5,0.005
386,경남,월영동,경남 창원시 마산합포구 월영동16길 22 마산합포구도서관 옥상 (해운동),128.5573497,35.19005738,정좌표,055,36,0101000020E6100000EFBD09CFD511604052BBDBCC53984140,67,0.096,0.033,0.5,0.005
394,경남,합천읍,경남 합천군 합천읍 중앙로 61 합천읍사무소 종량제 창고 옥상,128.157917,35.56598689,정좌표,055,-1,0101000020E610000070CFF3A70D056040E341274272C84140,-1,0.09,-1,-1,-1
219,대전,문창동,대전 중구 보문로 20번길 38(문창동 주민센터) 문창동 주민센터,127.4379209,36.31620811,정좌표,042,11,0101000020E610000008EF61E506DC5F400997E18179284240,45,0.087,0.014,0.5,0.003
54,경기,목감동,경기도 시흥시 솔고개길 33 목감공원 지상 (목감동),126.8612796,37.38559125,정좌표,031,23,0101000020E610000091AD78341FB75F40D72FD80D5BB14240,68,0.082,0.017,0.3,0.005
113,경기,정왕동,경기 시흥시 정왕대로 233번길 19 정왕보건지소,126.7401524,37.34672014,정좌표,031,53,0101000020E610000094032CA85EAF5F401015575361AC4240,122,0.076,0.054,0.6,0.005
